性别,大学,入学年,J值
M,河北大学,2017,355
M,广西农业职业技术学院,2017,252
F,桂林理工大学,2016,706
M,广西师范大学,2016,1523
M,四川化工职业技术学院,2017,1066
F,广西师范大学,2017,916
F,昆明学院,2014,3106
M,贵州大学,2017,111
F,广西师范大学,2015,499
M,贵州理工学院,2017,575
F,广西师范大学,2017,914
F,绵阳师范学院,2016,4180
F,广西师范大学,2016,436
M,贵州工程应用技术学院,2016,7985
M,北海职业学院,2017,197
F,绵阳师范学院,2017,2537
M,广西师范大学,2016,5648
M,绵阳师范学院,2016,232
M,佛山科学技术学院,2017,4995
M,陕西科技大学,2017,5811
M,成都农业科技职业学院,2016,2868
M,广西师范大学,2016,2214
M,广西师范大学,2008,5058
M,广西农业职业技术学院,2017,400
M,贵州理工学院,2015,291
M,石河子大学,2017,415
M,铜仁学院,2017,2067
M,石河子大学,2017,128
M,陕西科技大学,2017,1789
M,石河子大学,2016,488
F,桂林理工大学,2016,421
F,广东石油化工学院,2017,1757
M,广西科技大学,2016,1523
F,德宏职业学院,2017,330
M,广东科学技术职业学院,2016,224
F,陕西科技大学,2017,2761
M,沈阳建筑大学,2017,532
M,广西师范大学,2017,2337
M,昆明理工大学,2017,1245
F,昆明学院,2014,1493
M,上海海洋大学,2009,20779
M,东华大学,2000,6036
M,贵州工程应用技术学院,2016,2309
F,广西师范大学,2016,3047
M,广西民族大学,2017,493
M,榆林学院,2016,1118
F,广西师范大学,2017,319
M,广西经贸职业技术学院,2016,7490
M,上海海事大学,2014,248
F,广西民族大学,2016,459
M,石河子大学,2015,234
M,石河子大学,2017,392
M,石河子大学,2016,365
M,福建工程学院,2017,6747
M,北华航天工业学院,2018,526
M,兰州理工大学,2017,3442
F,广西师范大学,2016,1354
F,安徽师范大学,2017,817
M,广西师范大学,2017,424
F,广西民族大学,2017,206
M,北海职业学院,2017,4436
M,西安航空学院,2017,446
M,山东理工大学,2017,739
M,乌海职业技术学院,2017,184
M,桂林理工大学,2015,741
F,成都农业科技职业学院,2016,745
M,广西师范大学,2016,999
F,广西师范大学,2017,2070
F,湖南财政经济学院,2015,1909
F,广西中医药大学赛恩斯新医药学院,2015,342
M,河北农业大学,2015,913
M,广西师范大学,2016,1448
M,陕西铁路工程职业技术学院,2016,7629
F,广西师范大学,2016,460
